efs, recall, ndc, latency, rderr
100, 0.926049, 3871.13, 0.774797, 1.00132
110, 0.932581, 4151.26, 0.832371, 1.00116
120, 0.93825, 4428.06, 0.892833, 1.001
130, 0.942753, 4698.35, 0.951417, 1.0009
140, 0.946743, 4964.42, 1.00821, 1.00081
150, 0.950201, 5228.03, 1.06068, 1.00073
160, 0.953113, 5488.91, 1.12123, 1.00066
180, 0.957988, 5998.53, 1.22787, 1.00055
200, 0.96248, 6502.66, 1.33825, 1.00044
250, 0.969384, 7710.59, 1.59743, 1.00031
300, 0.97442, 8874.91, 1.85166, 1.0002
400, 0.98076, 11104.4, 2.35026, 1.00004
500, 0.984479, 13216.6, 2.83743, 0.999963
800, 0.989786, 19121.5, 4.27591, 0.99985
1000, 0.991262, 22808.6, 5.09204, 0.999825
2000, 0.993922, 39578.9, 9.24667, 0.999775
