efs, recall, ndc, latency, rderr
100, 0.928996, 3882.77, 0.791049, 1.00134
110, 0.935566, 4164.39, 0.849323, 1.00117
120, 0.94104, 4441.61, 0.904361, 1.00102
130, 0.945482, 4712.93, 0.963129, 1.00092
140, 0.949542, 4980.96, 1.02221, 1.00083
150, 0.952857, 5245.38, 1.07705, 1.00076
160, 0.955691, 5506.95, 1.13684, 1.00069
180, 0.96052, 6019.13, 1.24912, 1.00059
200, 0.964864, 6523.89, 1.35769, 1.00049
250, 0.971754, 7737.3, 1.62556, 1.00035
300, 0.976581, 8905.87, 1.87898, 1.00026
400, 0.982673, 11142, 2.39677, 1.0001
500, 0.986317, 13261.9, 2.87729, 1.00003
800, 0.991511, 19186.2, 4.26824, 0.999921
1000, 0.992982, 22886, 5.12244, 0.999898
2000, 0.995619, 39712.7, 9.27092, 0.999853
