efs, recall, ndc, latency, rderr
100, 0.919275, 3896.58, 0.801151, 1.0015
110, 0.925806, 4174.3, 0.861976, 1.00132
120, 0.931895, 4451.14, 0.920192, 1.00107
130, 0.936761, 4721.01, 0.979016, 1.00094
140, 0.940869, 4986.91, 1.03108, 1.00085
150, 0.944565, 5249.26, 1.08348, 1.00075
160, 0.947685, 5508.74, 1.13518, 1.00068
180, 0.953143, 6017, 1.24425, 1.0005
200, 0.957529, 6514.88, 1.35527, 1.0004
250, 0.965009, 7718.41, 1.61331, 1.00022
300, 0.97021, 8872.73, 1.87208, 1.0001
400, 0.976512, 11081.6, 2.372, 0.99994
500, 0.980484, 13183.8, 2.85045, 0.999846
800, 0.985878, 19046.6, 4.21765, 0.999727
1000, 0.987521, 22709.8, 5.08332, 0.999685
2000, 0.990161, 39368.8, 9.21677, 0.999626
