efs, recall, ndc, latency, rderr
100, 0.932003, 3894.84, 0.788974, 1.00135
110, 0.938592, 4179.2, 0.850781, 1.00117
120, 0.943873, 4456.75, 0.906946, 1.00105
130, 0.948231, 4729.36, 0.967331, 1.00095
140, 0.952171, 4997.94, 1.02493, 1.00086
150, 0.95527, 5262.21, 1.07756, 1.0008
160, 0.95814, 5524.79, 1.12694, 1.00073
180, 0.962905, 6039.17, 1.2414, 1.00064
200, 0.967138, 6545.99, 1.35014, 1.00053
250, 0.97384, 7763.6, 1.61036, 1.00041
300, 0.978596, 8937.27, 1.86378, 1.00032
400, 0.98471, 11182.2, 2.36077, 1.00016
500, 0.98817, 13308.3, 2.84997, 1.0001
800, 0.99324, 19254.5, 4.21915, 0.999998
1000, 0.994805, 22967.3, 5.0937, 0.999972
2000, 0.997308, 39849.8, 9.23308, 0.999936
