Percentage,InsertCount,InsertionLatency_ms,Recall,NDC,SearchLatency_ms
1,80000,8509,0.994805,22967.3,5.0937
2,160000,15368,0.992982,22886,5.12244
3,240000,24245,0.991262,22808.6,5.09204
4,320000,28457,0.989323,22732.6,5.04903
5,400000,38585,0.987521,22709.8,5.08332
10,800000,72655,0.976747,22354.6,5.09708
15,1200000,105976,0.962179,22038.1,5.04076
20,1600000,135053,0.938471,21726.2,4.97399
25,2000000,164277,0.903759,21436.8,4.90137
