efs, recall, ndc, latency, rderr
100, 0.874888, 3734.22, 0.775766, 1.00147
110, 0.881962, 3997.76, 0.835089, 1.00121
120, 0.887664, 4257.36, 0.886753, 1.00102
130, 0.893346, 4517.45, 0.943291, 1.0008
140, 0.898171, 4773.73, 0.999967, 1.00059
150, 0.902002, 5023.36, 1.05444, 1.00045
160, 0.905703, 5270.78, 1.10803, 1.00031
180, 0.911041, 5755.46, 1.21485, 1.00009
200, 0.915517, 6231.26, 1.32135, 0.99993
250, 0.922632, 7376.44, 1.57637, 0.999615
300, 0.927318, 8485.45, 1.82356, 0.999444
400, 0.932233, 10591.4, 2.31168, 0.999225
500, 0.935088, 12601.3, 2.786, 0.999092
800, 0.938054, 18215.8, 4.1287, 0.998872
1000, 0.938471, 21726.2, 4.97399, 0.998816
2000, 0.938693, 37718, 8.9873, 0.998689
