efs, recall, ndc, latency, rderr
100, 0.923026, 3858.35, 0.775622, 1.0013
110, 0.929625, 4137.77, 0.837333, 1.00113
120, 0.935222, 4413.3, 0.89877, 1.00098
130, 0.939748, 4682.24, 0.955041, 1.00088
140, 0.944002, 4948.32, 1.01326, 1.00077
150, 0.947404, 5210.12, 1.06943, 1.0007
160, 0.950505, 5470.23, 1.12708, 1.00062
180, 0.9555, 5978.79, 1.23631, 1.00052
200, 0.959994, 6481.09, 1.34576, 1.0004
250, 0.967019, 7684.23, 1.60922, 1.00026
300, 0.9722, 8843.98, 1.85798, 1.00015
400, 0.978512, 11063.9, 2.3451, 0.999978
500, 0.982384, 13170.8, 2.81945, 0.9999
800, 0.987809, 19055.1, 4.18251, 0.99978
1000, 0.989323, 22732.6, 5.04903, 0.999752
2000, 0.991991, 39444.8, 9.27004, 0.999698
