efs, recall, ndc, latency, rderr
100, 0.891822, 3802.98, 0.782658, 1.00119
110, 0.899036, 4071.04, 0.841366, 1.00097
120, 0.905339, 4336.3, 0.900084, 1.00078
130, 0.910639, 4597.06, 0.956543, 1.00064
140, 0.915303, 4854.54, 1.01374, 1.00051
150, 0.919365, 5106.44, 1.06918, 1.00037
160, 0.922915, 5356.34, 1.12314, 1.00028
180, 0.928518, 5847.68, 1.23164, 1.00012
200, 0.93287, 6328.19, 1.3389, 0.999984
250, 0.941114, 7493.96, 1.59726, 0.999746
300, 0.946442, 8615.94, 1.89002, 0.999601
400, 0.952525, 10750.5, 2.35469, 0.999414
500, 0.956354, 12788.3, 2.82998, 0.999279
800, 0.960842, 18477.8, 4.17438, 0.999132
1000, 0.962179, 22038.1, 5.04076, 0.999079
2000, 0.964073, 38232.9, 9.14711, 0.998982
