efs, recall, ndc, latency, rderr
100, 0.856744, 3686.58, 0.768554, 1.00134
110, 0.863416, 3947.07, 0.828137, 1.00104
120, 0.868793, 4205.42, 0.883477, 1.00084
130, 0.87348, 4459.97, 0.94211, 1.00063
140, 0.877608, 4711.84, 0.995892, 1.00044
150, 0.881114, 4958.79, 1.05258, 1.00029
160, 0.883679, 5199.85, 1.10411, 1.00019
180, 0.888015, 5677.07, 1.21173, 0.999977
200, 0.891072, 6142.32, 1.31681, 0.999832
250, 0.896529, 7273.01, 1.57053, 0.999489
300, 0.899125, 8361.4, 1.80455, 0.999305
400, 0.902134, 10443.5, 2.31316, 0.999054
500, 0.903521, 12430.3, 2.72508, 0.998886
800, 0.904129, 17970.8, 4.03747, 0.998649
1000, 0.903759, 21436.8, 4.90137, 0.998582
2000, 0.902625, 37245.8, 8.88943, 0.998446
