efs, recall, ndc, latency, rderr
100, 0.927162, 3870.25, 0.780243, 1.00151
110, 0.934038, 4150.22, 0.838941, 1.00133
120, 0.939737, 4426.71, 0.902331, 1.00121
130, 0.944502, 4695.85, 0.957082, 1.0011
140, 0.948764, 4963.02, 1.01611, 1.001
150, 0.952206, 5225.05, 1.07114, 1.00093
160, 0.95536, 5486.39, 1.12826, 1.00086
180, 0.960448, 5996.39, 1.23413, 1.00076
200, 0.965048, 6498.62, 1.33576, 1.00066
250, 0.972412, 7706.38, 1.60021, 1.00052
300, 0.977594, 8868.92, 1.85395, 1.00042
400, 0.984115, 11093.1, 2.37174, 1.00026
500, 0.988127, 13203.3, 2.89503, 1.00019
800, 0.993811, 19098.5, 4.22875, 1.00009
1000, 0.995494, 22781.3, 5.10828, 1.00006
2000, 0.998479, 39520.3, 9.25729, 1.00002
