efs, recall, ndc, latency, rderr
100, 0.908258, 3782.38, 0.765885, 1.0019
110, 0.915863, 4053.31, 0.824872, 1.00173
120, 0.922665, 4320.72, 0.880685, 1.00157
130, 0.928455, 4583.61, 0.934466, 1.00144
140, 0.933384, 4841.46, 0.991694, 1.00133
150, 0.937887, 5096.45, 1.04599, 1.00122
160, 0.941561, 5347.12, 1.10038, 1.00115
180, 0.948091, 5843, 1.20777, 1.001
200, 0.953173, 6327.7, 1.31199, 1.0009
250, 0.963176, 7505.28, 1.57151, 1.00069
300, 0.969613, 8631.93, 1.8191, 1.00058
400, 0.978125, 10788.8, 2.3108, 1.00036
500, 0.983486, 12840.9, 2.78472, 1.00027
800, 0.99082, 18563.4, 4.12158, 1.00014
1000, 0.99317, 22140.1, 4.96972, 1.0001
2000, 0.997518, 38406, 8.97068, 1.00003
