Percentage,InsertCount,InsertionLatency_ms,Recall,NDC,SearchLatency_ms
1,80000,8528,0.932827,3897.2,0.79244
2,160000,16485,0.930919,3888.18,0.792428
3,240000,24121,0.928991,3879.53,0.791448
4,320000,31871,0.927162,3870.25,0.780243
5,400000,38595,0.925368,3861.63,0.788395
10,800000,72137,0.916331,3821.97,0.77333
15,1200000,105588,0.908258,3782.38,0.765885
20,1600000,129859,0.900027,3742.94,0.766424
25,2000000,168192,0.892207,3706.82,0.766363
