efs, recall, ndc, latency, rderr
100, 0.928991, 3879.53, 0.791448, 1.00149
110, 0.93591, 4161.38, 0.85182, 1.0013
120, 0.94142, 4437.91, 0.911232, 1.00118
130, 0.946118, 4708.54, 0.970967, 1.00107
140, 0.95024, 4975.84, 1.02815, 1.00098
150, 0.953617, 5239.46, 1.08652, 1.00091
160, 0.956705, 5501.4, 1.14566, 1.00084
180, 0.961728, 6013.21, 1.25722, 1.00074
200, 0.966238, 6516.65, 1.36461, 1.00063
250, 0.973339, 7727.77, 1.63287, 1.00051
300, 0.97842, 8894.1, 1.89039, 1.00041
400, 0.984798, 11125.6, 2.4034, 1.00025
500, 0.98861, 13240.8, 2.90055, 1.00019
800, 0.994106, 19153.5, 4.29675, 1.00008
1000, 0.995705, 22845.4, 5.18238, 1.00006
2000, 0.998567, 39634.5, 9.31865, 1.00002
