efs, recall, ndc, latency, rderr
100, 0.900027, 3742.94, 0.766424, 1.00207
110, 0.908384, 4010.55, 0.854589, 1.00186
120, 0.915462, 4272.81, 0.875792, 1.00171
130, 0.921713, 4533.6, 0.933437, 1.00156
140, 0.92698, 4790.03, 0.985723, 1.00144
150, 0.931663, 5040.6, 1.04514, 1.00132
160, 0.93596, 5289.25, 1.09882, 1.00124
180, 0.942768, 5776.65, 1.20626, 1.0011
200, 0.948565, 6257.08, 1.30982, 1.00096
250, 0.959193, 7418.93, 1.56695, 1.00075
300, 0.966518, 8535.32, 1.81454, 1.00061
400, 0.975582, 10663.6, 2.30261, 1.00042
500, 0.98155, 12692.6, 2.77836, 1.00029
800, 0.989683, 18345.4, 4.10125, 1.00015
1000, 0.992266, 21879.2, 4.94149, 1.00012
2000, 0.997128, 37951.6, 8.94695, 1.00004
