efs, recall, ndc, latency, rderr
100, 0.892207, 3706.82, 0.766363, 1.00225
110, 0.901112, 3971.7, 0.821663, 1.00204
120, 0.908399, 4230.28, 0.877603, 1.00187
130, 0.915196, 4487.73, 0.934032, 1.0017
140, 0.920799, 4740.97, 0.992249, 1.00157
150, 0.925795, 4989.8, 1.04876, 1.00147
160, 0.930311, 5234.35, 1.09851, 1.00136
180, 0.937711, 5716.79, 1.20904, 1.00121
200, 0.943999, 6191.27, 1.31374, 1.00107
250, 0.955482, 7339.32, 1.57311, 1.00082
300, 0.963337, 8442.75, 1.81602, 1.00067
400, 0.973244, 10547, 2.3062, 1.00045
500, 0.979477, 12551.8, 2.7707, 1.00033
800, 0.988516, 18139.4, 4.09083, 1.00017
1000, 0.99134, 21632.9, 4.92247, 1.00013
2000, 0.996736, 37530.5, 8.88845, 1.00004
