efs, recall, ndc, latency, rderr
100, 0.925368, 3861.63, 0.788395, 1.00155
110, 0.932093, 4139.49, 0.889181, 1.0014
120, 0.938015, 4415.76, 0.898019, 1.00124
130, 0.942905, 4684.73, 0.955371, 1.00113
140, 0.94733, 4950.94, 1.01336, 1.00103
150, 0.950951, 5212.79, 1.07223, 1.00095
160, 0.954081, 5472.5, 1.12674, 1.00089
180, 0.959352, 5981.21, 1.23667, 1.00078
200, 0.964047, 6481.91, 1.34479, 1.00067
250, 0.971508, 7686.1, 1.60018, 1.00054
300, 0.97688, 8845.8, 1.85332, 1.00043
400, 0.983481, 11061.3, 2.35, 1.00027
500, 0.987752, 13168.3, 2.83142, 1.0002
800, 0.993596, 19045.5, 4.19782, 1.00009
1000, 0.995306, 22717, 5.06835, 1.00006
2000, 0.998385, 39408.3, 9.14918, 1.00002
