efs, recall, ndc, latency, rderr
100, 0.932827, 3897.2, 0.79244, 1.00141
110, 0.93958, 4181.88, 0.854106, 1.00122
120, 0.944838, 4459.78, 0.91573, 1.0011
130, 0.94939, 4732.96, 0.976962, 1.00101
140, 0.953316, 5001.57, 1.03898, 1.00092
150, 0.956397, 5266.24, 1.0919, 1.00086
160, 0.959314, 5529.44, 1.14009, 1.00079
180, 0.964048, 6043.97, 1.24905, 1.0007
200, 0.968336, 6550.5, 1.35832, 1.0006
250, 0.975132, 7769.57, 1.62829, 1.00048
300, 0.979837, 8943.27, 1.88561, 1.00039
400, 0.986047, 11189.8, 2.39424, 1.00023
500, 0.989532, 13317.3, 2.87006, 1.00017
800, 0.994649, 19265.5, 4.24634, 1.00007
1000, 0.996227, 22980.5, 5.12461, 1.00005
2000, 0.998757, 39869.9, 9.29106, 1.00002
