efs, recall, ndc, latency, rderr
100, 0.916331, 3821.97, 0.77333, 1.00175
110, 0.923609, 4096.8, 0.832597, 1.00157
120, 0.930188, 4368.28, 0.891158, 1.0014
130, 0.935658, 4635.34, 0.949779, 1.00128
140, 0.940236, 4896.47, 1.00839, 1.00116
150, 0.944294, 5154.29, 1.06338, 1.00108
160, 0.947752, 5409.52, 1.11837, 1.00101
180, 0.953527, 5911.2, 1.23, 1.00088
200, 0.958523, 6404.09, 1.33876, 1.00079
250, 0.967352, 7594.24, 1.58686, 1.00061
300, 0.973205, 8735.84, 1.83385, 1.00049
400, 0.980729, 10920, 2.32273, 1.00032
500, 0.985679, 13000.1, 2.80239, 1.00023
800, 0.992321, 18796, 4.14813, 1.00011
1000, 0.994244, 22415.9, 5.00309, 1.00008
2000, 0.997949, 38886.7, 9.06245, 1.00003
