efs, recall, ndc, latency, rderr
100, 0.84428, 3627.42, 0.817817, 0.998788
110, 0.848435, 3886.56, 0.875133, 0.99858
120, 0.851901, 4141.62, 0.937485, 0.998399
130, 0.854565, 4391.15, 1.03211, 0.998246
140, 0.857206, 4639.62, 1.06158, 0.998056
150, 0.858966, 4883.03, 1.12854, 0.997953
160, 0.860496, 5124.55, 1.18215, 0.997853
180, 0.863242, 5599.12, 1.28463, 0.997669
200, 0.865151, 6063.73, 1.40963, 0.997518
250, 0.867964, 7186.02, 1.68665, 0.99729
300, 0.869346, 8265.42, 1.94097, 0.997149
400, 0.870511, 10327.4, 2.4758, 0.996952
500, 0.870901, 12296.2, 2.94305, 0.996848
800, 0.871213, 17794.7, 4.34021, 0.996673
1000, 0.871255, 21238.3, 5.28925, 0.996613
2000, 0.870364, 36899, 9.56846, 0.996538
