efs, recall, ndc, latency, rderr
100, 0.892326, 3702.68, 0.791957, 1.00072
110, 0.898723, 3967.35, 0.847411, 1.00055
120, 0.904368, 4228.14, 0.905955, 1.00038
130, 0.909062, 4484.61, 0.966352, 1.00023
140, 0.912973, 4737.64, 1.01395, 1.00012
150, 0.916322, 4987.43, 1.08061, 1.00003
160, 0.919337, 5235.16, 1.13638, 0.999934
180, 0.924648, 5723.85, 1.24889, 0.999737
200, 0.928275, 6198.48, 1.34319, 0.999636
250, 0.935341, 7352.55, 1.6216, 0.999421
300, 0.939343, 8459.87, 1.87483, 0.999304
400, 0.944085, 10576.3, 2.37688, 0.999128
500, 0.946776, 12595.3, 2.86588, 0.99903
800, 0.950086, 18224, 4.25506, 0.9989
1000, 0.951089, 21748.7, 5.26046, 0.998854
2000, 0.952056, 37788.4, 9.76642, 0.998794
