efs, recall, ndc, latency, rderr
100, 0.907068, 3735.51, 0.800484, 1.00157
110, 0.914736, 4003.12, 0.861215, 1.00139
120, 0.921312, 4265.88, 0.903621, 1.00122
130, 0.927129, 4526.53, 0.944932, 1.00109
140, 0.932035, 4783.36, 1.00122, 1.00098
150, 0.936082, 5035.3, 1.05881, 1.0009
160, 0.939893, 5286.27, 1.11261, 1.00081
180, 0.946368, 5778.79, 1.22606, 1.00064
200, 0.951295, 6259.16, 1.32974, 1.00054
250, 0.960573, 7426.29, 1.59377, 1.00034
300, 0.96626, 8543.62, 1.84206, 1.00023
400, 0.973569, 10685.7, 2.4827, 1.00006
500, 0.977952, 12727.2, 3.647, 0.999976
800, 0.983926, 18420.2, 5.74387, 0.999855
1000, 0.985722, 21980.8, 6.5027, 0.999816
2000, 0.988619, 38194.5, 10.5174, 0.999763
