efs, recall, ndc, latency, rderr
100, 0.896637, 3710.58, 0.822006, 1.00093
110, 0.903411, 3976.3, 0.883606, 1.00075
120, 0.909419, 4237.99, 0.946702, 1.00057
130, 0.91432, 4494.99, 1.11673, 1.00043
140, 0.91853, 4749.75, 1.05631, 1.00033
150, 0.921974, 4999.18, 1.11549, 1.00024
160, 0.925061, 5247.07, 1.17544, 1.00016
180, 0.930672, 5737.32, 1.27894, 0.999965
200, 0.934535, 6213.07, 1.48083, 0.999865
250, 0.942111, 7370.47, 1.70052, 0.999655
300, 0.946555, 8480.81, 1.98532, 0.999539
400, 0.951861, 10602.8, 2.62368, 0.999366
500, 0.954941, 12627.7, 3.04432, 0.99927
800, 0.958763, 18272.4, 4.70737, 0.999142
1000, 0.959947, 21806.2, 5.23623, 0.999097
2000, 0.961276, 37888.6, 9.28026, 0.999039
