efs, recall, ndc, latency, rderr
100, 0.819832, 3589.71, 0.807405, 0.997888
110, 0.823392, 3846.55, 0.867865, 0.997651
120, 0.825776, 4098.13, 0.93442, 0.997481
130, 0.827696, 4343.82, 0.98951, 0.997308
140, 0.829423, 4588.06, 1.05193, 0.997143
150, 0.830847, 4829.83, 1.09915, 0.997009
160, 0.831893, 5068.13, 1.15624, 0.996909
180, 0.833551, 5537.05, 1.30962, 0.99673
200, 0.834913, 5996.49, 1.3921, 0.996565
250, 0.836336, 7107.56, 1.65934, 0.996327
300, 0.83718, 8177.12, 1.94542, 0.996165
400, 0.83708, 10213.5, 2.39772, 0.995969
500, 0.83712, 12164.3, 2.91651, 0.995825
800, 0.836345, 17601.6, 4.40031, 0.995641
1000, 0.836046, 21006.7, 5.23023, 0.99558
2000, 0.834829, 36506, 9.53604, 0.995495
