efs, recall, ndc, latency, rderr
100, 0.869119, 3661.93, 0.816668, 0.999713
110, 0.874277, 3924.34, 0.882583, 0.999528
120, 0.878562, 4180.83, 0.94032, 0.999358
130, 0.881989, 4433.6, 1.00439, 0.999214
140, 0.885333, 4685.35, 1.07141, 0.999047
150, 0.887931, 4933.27, 1.12774, 0.998945
160, 0.890115, 5176.53, 1.18896, 0.998844
180, 0.893811, 5657.25, 1.29382, 0.998662
200, 0.896591, 6127.62, 1.42616, 0.99854
250, 0.901112, 7264.05, 1.68331, 0.998318
300, 0.90362, 8357.39, 1.96531, 0.998189
400, 0.906249, 10444.5, 2.65902, 0.998005
500, 0.907686, 12438.3, 3.01784, 0.997901
800, 0.908971, 17998, 4.43108, 0.997755
1000, 0.909409, 21479.6, 5.37331, 0.9977
2000, 0.90918, 37323.6, 9.8079, 0.997632
