efs, recall, ndc, latency, rderr
100, 0.900597, 3718.99, 0.796216, 1.00114
110, 0.907658, 3984.67, 0.854853, 1.00096
120, 0.913878, 4246.59, 0.913245, 1.00079
130, 0.918992, 4504.69, 0.967298, 1.00065
140, 0.923591, 4761.33, 1.04184, 1.00054
150, 0.927223, 5011.13, 1.11731, 1.00045
160, 0.930536, 5260.02, 1.1432, 1.00038
180, 0.936307, 5749.71, 1.21145, 1.00019
200, 0.94047, 6227.37, 1.31353, 1.00009
250, 0.948716, 7388.92, 1.59004, 0.999876
300, 0.953466, 8501.01, 1.86487, 0.999769
400, 0.959365, 10628.4, 2.38617, 0.999598
500, 0.962881, 12659, 2.89115, 0.999502
800, 0.967238, 18318.9, 4.29178, 0.999379
1000, 0.96863, 21863.5, 5.1823, 0.999334
2000, 0.970374, 37987.9, 9.46888, 0.999278
